eventTime,rootSeq,sourceDevice,deviceType,sensorDeviceId,sensorSeq,frequencyHz,voltageL1,voltageL2,voltageL3,ingestTime
"3/31/2026, 4:34:36.207191 PM",337,K300_edge_device,pqube3,pqube3-01,340,49.95812607,217.3446655,218.1167603,219.4152832,"3/31/2026, 4:34:40.701 PM"
"3/31/2026, 4:34:31.9 PM",334,K300_edge_device,micropmu,micropmu-01,334,49.95954895,217.9266357,218.4228973,220.0326233,"3/31/2026, 4:34:25.697 PM"
"3/31/2026, 4:34:31.21006 PM",336,K300_edge_device,pqube3,pqube3-01,339,49.95706177,217.6605225,218.4326172,219.6258545,"3/31/2026, 4:34:35.732 PM"
"3/31/2026, 4:34:26.9 PM",333,K300_edge_device,micropmu,micropmu-01,333,49.95274353,217.690033,218.201828,219.7929382,"3/31/2026, 4:34:20.868 PM"
"3/31/2026, 4:34:26.211604 PM",335,K300_edge_device,pqube3,pqube3-01,338,49.96755219,217.8359985,218.4326172,219.9066162,"3/31/2026, 4:34:31.028 PM"
"3/31/2026, 4:34:21.9 PM",332,K300_edge_device,micropmu,micropmu-01,332,49.95675659,217.5737,218.666214,219.4957886,"3/31/2026, 4:34:16.087 PM"
"3/31/2026, 4:34:21.207229 PM",334,K300_edge_device,pqube3,pqube3-01,337,49.9580574,217.8009033,218.2922363,219.871521,"3/31/2026, 4:34:25.697 PM"
"3/31/2026, 4:34:16.9 PM",331,K300_edge_device,micropmu,micropmu-01,331,49.95809555,217.5517426,218.2179718,219.6503143,"3/31/2026, 4:34:10.93 PM"
"3/31/2026, 4:34:16.206648 PM",333,K300_edge_device,pqube3,pqube3-01,336,49.95536423,217.7307129,218.2922363,219.6960449,"3/31/2026, 4:34:20.868 PM"
"3/31/2026, 4:34:11.9 PM",330,K300_edge_device,micropmu,micropmu-01,330,49.96366882,217.8394928,218.4770508,219.5051117,"3/31/2026, 4:34:05.726 PM"
"3/31/2026, 4:34:11.220807 PM",332,K300_edge_device,pqube3,pqube3-01,335,49.95625687,217.5552368,218.5028076,219.4152832,"3/31/2026, 4:34:16.087 PM"
"3/31/2026, 4:34:06.9 PM",329,K300_edge_device,micropmu,micropmu-01,329,49.96973801,218.0374298,218.3199768,219.8239441,"3/31/2026, 4:34:00.897 PM"
"3/31/2026, 4:34:06.214504 PM",331,K300_edge_device,pqube3,pqube3-01,334,49.96070862,217.6254272,218.4326172,219.4152832,"3/31/2026, 4:34:10.93 PM"
"3/31/2026, 4:34:01.9 PM",328,K300_edge_device,micropmu,micropmu-01,328,49.96371078,218.0199432,218.508606,219.7216797,"3/31/2026, 4:33:55.754 PM"
"3/31/2026, 4:34:01.22059 PM",330,K300_edge_device,pqube3,pqube3-01,333,49.96960449,217.8359985,218.4677124,219.4152832,"3/31/2026, 4:34:05.726 PM"
"3/31/2026, 4:33:56.9 PM",327,K300_edge_device,micropmu,micropmu-01,327,49.96477509,217.7671356,218.3975372,219.3891602,"3/31/2026, 4:33:50.665 PM"
"3/31/2026, 4:33:56.213496 PM",329,K300_edge_device,pqube3,pqube3-01,332,49.96642303,217.7307129,218.1869507,219.6960449,"3/31/2026, 4:34:00.897 PM"
"3/31/2026, 4:33:51.9 PM",326,K300_edge_device,micropmu,micropmu-01,326,49.96312332,217.4257507,218.4911652,219.2890778,"3/31/2026, 4:33:46.117 PM"
"3/31/2026, 4:33:51.211825 PM",328,K300_edge_device,pqube3,pqube3-01,331,49.96277237,217.6956177,218.397522,219.3450928,"3/31/2026, 4:33:55.754 PM"
"3/31/2026, 4:33:46.9 PM",325,K300_edge_device,micropmu,micropmu-01,325,49.96899414,217.5476379,218.293869,219.5935516,"3/31/2026, 4:33:40.773 PM"
"3/31/2026, 4:33:46.1945 PM",327,K300_edge_device,pqube3,pqube3-01,330,49.95868683,217.6605225,218.3624268,219.2398071,"3/31/2026, 4:33:50.665 PM"
"3/31/2026, 4:33:41.9 PM",324,K300_edge_device,micropmu,micropmu-01,324,49.9685173,217.6439209,218.1071777,219.5682983,"3/31/2026, 4:33:35.835 PM"
"3/31/2026, 4:33:41.206036 PM",326,K300_edge_device,pqube3,pqube3-01,329,49.96655273,217.5201416,218.572998,219.380188,"3/31/2026, 4:33:46.117 PM"
"3/31/2026, 4:33:36.9 PM",323,K300_edge_device,micropmu,micropmu-01,323,49.96017456,217.6804047,218.3368835,219.5404968,"3/31/2026, 4:33:30.881 PM"
"3/31/2026, 4:33:36.209299 PM",325,K300_edge_device,pqube3,pqube3-01,328,49.97203827,217.4850464,218.2922363,219.5205688,"3/31/2026, 4:33:40.773 PM"
"3/31/2026, 4:33:31.9 PM",322,K300_edge_device,micropmu,micropmu-01,322,49.96725845,217.6111908,217.9856567,219.4234772,"3/31/2026, 4:33:25.646 PM"
"3/31/2026, 4:33:31.201979 PM",324,K300_edge_device,pqube3,pqube3-01,327,49.96696854,217.6956177,218.3273315,219.6258545,"3/31/2026, 4:33:35.835 PM"
"3/31/2026, 4:33:26.9 PM",321,K300_edge_device,micropmu,micropmu-01,321,49.96880722,217.4786835,217.6732025,219.301651,"3/31/2026, 4:33:20.755 PM"
"3/31/2026, 4:33:26.209389 PM",323,K300_edge_device,pqube3,pqube3-01,326,49.96316147,217.5201416,218.1869507,219.4152832,"3/31/2026, 4:33:30.881 PM"
"3/31/2026, 4:33:21.9 PM",320,K300_edge_device,micropmu,micropmu-01,320,49.97564316,217.441864,217.8188171,219.33992,"3/31/2026, 4:33:16.005 PM"
"3/31/2026, 4:33:21.205866 PM",322,K300_edge_device,pqube3,pqube3-01,325,49.96858978,217.6956177,218.0114746,219.380188,"3/31/2026, 4:33:25.646 PM"
"3/31/2026, 4:33:16.9 PM",319,K300_edge_device,micropmu,micropmu-01,319,49.97248459,217.4904633,217.8312073,219.5262451,"3/31/2026, 4:33:10.661 PM"
"3/31/2026, 4:33:16.220258 PM",321,K300_edge_device,pqube3,pqube3-01,324,49.97514725,217.414856,217.6605225,219.2398071,"3/31/2026, 4:33:20.755 PM"
"3/31/2026, 4:33:11.9 PM",318,K300_edge_device,micropmu,micropmu-01,318,49.96944046,217.6139069,217.9078217,219.6742859,"3/31/2026, 4:33:05.753 PM"
"3/31/2026, 4:33:11.221581 PM",320,K300_edge_device,pqube3,pqube3-01,323,49.97235107,217.2744751,217.6956177,219.3450928,"3/31/2026, 4:33:16.005 PM"
"3/31/2026, 4:33:06.9 PM",317,K300_edge_device,micropmu,micropmu-01,317,49.96815491,217.7805328,218.1313629,219.7269745,"3/31/2026, 4:33:00.894 PM"
"3/31/2026, 4:33:06.220635 PM",319,K300_edge_device,pqube3,pqube3-01,322,49.97104645,217.4499512,217.8009033,219.5205688,"3/31/2026, 4:33:10.661 PM"
"3/31/2026, 4:33:01.9 PM",316,K300_edge_device,micropmu,micropmu-01,316,49.9628067,217.5834351,218.255127,219.4922333,"3/31/2026, 4:32:55.688 PM"
"3/31/2026, 4:33:01.22126 PM",318,K300_edge_device,pqube3,pqube3-01,321,49.97353363,217.4499512,217.9763794,219.5556641,"3/31/2026, 4:33:05.753 PM"
"3/31/2026, 4:32:56.9 PM",315,K300_edge_device,micropmu,micropmu-01,315,49.96744537,217.5361633,218.2517395,219.4138947,"3/31/2026, 4:32:50.703 PM"
"3/31/2026, 4:32:56.206873 PM",317,K300_edge_device,pqube3,pqube3-01,320,49.96777344,217.590332,218.1167603,219.4503784,"3/31/2026, 4:33:00.894 PM"
"3/31/2026, 4:32:51.9 PM",314,K300_edge_device,micropmu,micropmu-01,314,49.96207047,217.4117279,217.9541168,219.419281,"3/31/2026, 4:32:46.046 PM"
"3/31/2026, 4:32:51.229615 PM",316,K300_edge_device,pqube3,pqube3-01,319,49.96637344,217.3446655,217.9763794,219.2749023,"3/31/2026, 4:32:55.688 PM"
"3/31/2026, 4:32:46.9 PM",313,K300_edge_device,micropmu,micropmu-01,313,49.94879913,217.3041382,217.9662781,219.2640839,"3/31/2026, 4:32:40.717 PM"
"3/31/2026, 4:32:46.283909 PM",315,K300_edge_device,pqube3,pqube3-01,318,49.96177673,217.5201416,218.1518555,219.2047119,"3/31/2026, 4:32:50.703 PM"
"3/31/2026, 4:32:41.9 PM",312,K300_edge_device,micropmu,micropmu-01,312,49.93564224,217.2537842,217.9903107,219.2579041,"3/31/2026, 4:32:35.841 PM"
"3/31/2026, 4:32:41.207972 PM",314,K300_edge_device,pqube3,pqube3-01,317,49.95336533,217.3446655,217.8710938,219.3450928,"3/31/2026, 4:32:46.046 PM"
"3/31/2026, 4:32:36.9 PM",311,K300_edge_device,micropmu,micropmu-01,311,49.93948746,217.4102478,218.3404694,219.1837006,"3/31/2026, 4:32:30.763 PM"
"3/31/2026, 4:32:36.210135 PM",313,K300_edge_device,pqube3,pqube3-01,316,49.94582367,217.2744751,217.9763794,219.1696167,"3/31/2026, 4:32:40.717 PM"
"3/31/2026, 4:32:31.9 PM",310,K300_edge_device,micropmu,micropmu-01,310,49.94308853,217.569397,218.3100891,219.2503357,"3/31/2026, 4:32:25.902 PM"
"3/31/2026, 4:32:31.302094 PM",312,K300_edge_device,pqube3,pqube3-01,315,49.93355179,217.1340942,218.0465698,219.1696167,"3/31/2026, 4:32:35.841 PM"
"3/31/2026, 4:32:26.9 PM",309,K300_edge_device,micropmu,micropmu-01,309,49.93580246,217.6920776,218.2484131,219.1115723,"3/31/2026, 4:32:20.964 PM"
"3/31/2026, 4:32:26.215523 PM",311,K300_edge_device,pqube3,pqube3-01,314,49.93997574,217.2744751,218.2571411,219.0292358,"3/31/2026, 4:32:30.763 PM"
"3/31/2026, 4:32:21.9 PM",308,K300_edge_device,micropmu,micropmu-01,308,49.93847275,217.7808075,218.1625977,219.3121185,"3/31/2026, 4:32:15.776 PM"
"3/31/2026, 4:32:21.235062 PM",310,K300_edge_device,pqube3,pqube3-01,313,49.94037628,217.590332,218.397522,219.2047119,"3/31/2026, 4:32:25.902 PM"
"3/31/2026, 4:32:16.9 PM",307,K300_edge_device,micropmu,micropmu-01,307,49.9370079,217.4891815,218.1305237,219.1101685,"3/31/2026, 4:32:10.886 PM"
"3/31/2026, 4:32:16.300114 PM",309,K300_edge_device,pqube3,pqube3-01,312,49.94072723,217.7658081,218.081665,219.0994263,"3/31/2026, 4:32:20.964 PM"
"3/31/2026, 4:32:11.9 PM",306,K300_edge_device,micropmu,micropmu-01,306,49.93650818,217.7662659,218.0809937,219.4241943,"3/31/2026, 4:32:05.928 PM"
"3/31/2026, 4:32:11.22069 PM",308,K300_edge_device,pqube3,pqube3-01,311,49.93306732,217.6254272,218.2571411,219.2398071,"3/31/2026, 4:32:15.776 PM"
"3/31/2026, 4:32:06.9 PM",305,K300_edge_device,micropmu,micropmu-01,305,49.93764496,217.7728882,218.2858582,219.4506836,"3/31/2026, 4:32:00.693 PM"
"3/31/2026, 4:32:06.209168 PM",307,K300_edge_device,pqube3,pqube3-01,310,49.93376541,217.5201416,218.1167603,219.1345215,"3/31/2026, 4:32:10.886 PM"
"3/31/2026, 4:32:01.9 PM",304,K300_edge_device,micropmu,micropmu-01,304,49.94207001,217.5565796,218.2897644,219.5515137,"3/31/2026, 4:31:55.832 PM"
"3/31/2026, 4:32:01.211471 PM",306,K300_edge_device,pqube3,pqube3-01,309,49.9388237,217.8359985,218.2220459,219.4152832,"3/31/2026, 4:32:05.928 PM"
"3/31/2026, 4:31:56.9 PM",303,K300_edge_device,micropmu,micropmu-01,303,49.93388748,217.7361908,218.3136749,219.582016,"3/31/2026, 4:31:50.909 PM"
"3/31/2026, 4:31:56.219334 PM",305,K300_edge_device,pqube3,pqube3-01,308,49.93469238,217.590332,218.2922363,219.3099976,"3/31/2026, 4:32:00.693 PM"
"3/31/2026, 4:31:51.9 PM",302,K300_edge_device,micropmu,micropmu-01,302,49.9368515,217.806839,218.2420654,219.7207947,"3/31/2026, 4:31:45.734 PM"
"3/31/2026, 4:31:51.230235 PM",304,K300_edge_device,pqube3,pqube3-01,307,49.93677902,217.5201416,218.397522,219.4854736,"3/31/2026, 4:31:55.832 PM"
"3/31/2026, 4:31:46.9 PM",301,K300_edge_device,micropmu,micropmu-01,301,49.94984436,217.8658142,218.4173431,219.688446,"3/31/2026, 4:31:40.811 PM"
"3/31/2026, 4:31:46.203737 PM",303,K300_edge_device,pqube3,pqube3-01,306,49.9342041,217.7307129,218.3273315,219.5556641,"3/31/2026, 4:31:50.909 PM"
"3/31/2026, 4:31:41.9 PM",300,K300_edge_device,micropmu,micropmu-01,300,49.94284058,217.7964935,218.3231659,219.5662689,"3/31/2026, 4:31:35.717 PM"
"3/31/2026, 4:31:41.216933 PM",302,K300_edge_device,pqube3,pqube3-01,305,49.9443512,217.5552368,218.1518555,219.5205688,"3/31/2026, 4:31:45.734 PM"
"3/31/2026, 4:31:36.9 PM",299,K300_edge_device,micropmu,micropmu-01,299,49.93308258,217.7486877,218.047699,219.6727295,"3/31/2026, 4:31:30.699 PM"
"3/31/2026, 4:31:36.230747 PM",301,K300_edge_device,pqube3,pqube3-01,304,49.94488525,217.906189,218.2922363,219.5907593,"3/31/2026, 4:31:40.811 PM"
"3/31/2026, 4:31:31.9 PM",298,K300_edge_device,micropmu,micropmu-01,298,49.93623734,217.4970398,218.0760956,219.3161621,"3/31/2026, 4:31:25.792 PM"
"3/31/2026, 4:31:31.203044 PM",300,K300_edge_device,pqube3,pqube3-01,303,49.93955994,217.8359985,218.2220459,219.5205688,"3/31/2026, 4:31:35.717 PM"
"3/31/2026, 4:31:26.9 PM",297,K300_edge_device,micropmu,micropmu-01,297,49.93019485,217.4267273,218.1545258,219.4848785,"3/31/2026, 4:31:20.744 PM"
"3/31/2026, 4:31:26.20984 PM",299,K300_edge_device,pqube3,pqube3-01,302,49.93366241,217.5201416,218.0114746,219.380188,"3/31/2026, 4:31:30.699 PM"
"3/31/2026, 4:31:21.9 PM",296,K300_edge_device,micropmu,micropmu-01,296,49.9201889,217.3147583,217.8078308,219.4135742,"3/31/2026, 4:31:15.729 PM"
"3/31/2026, 4:31:21.227526 PM",298,K300_edge_device,pqube3,pqube3-01,301,49.93525314,217.414856,217.9412842,219.2398071,"3/31/2026, 4:31:25.792 PM"
"3/31/2026, 4:31:16.9 PM",295,K300_edge_device,micropmu,micropmu-01,295,49.92944717,217.447113,218.0968323,219.4631348,"3/31/2026, 4:31:10.604 PM"
"3/31/2026, 4:31:16.21143 PM",297,K300_edge_device,pqube3,pqube3-01,300,49.93008041,217.4499512,218.081665,219.4503784,"3/31/2026, 4:31:20.744 PM"
"3/31/2026, 4:31:11.9 PM",294,K300_edge_device,micropmu,micropmu-01,294,49.93562698,217.4199371,218.1051941,219.4727631,"3/31/2026, 4:31:05.995 PM"
"3/31/2026, 4:31:11.211124 PM",296,K300_edge_device,pqube3,pqube3-01,299,49.92893219,217.3095703,217.9412842,219.380188,"3/31/2026, 4:31:15.729 PM"
"3/31/2026, 4:31:06.9 PM",293,K300_edge_device,micropmu,micropmu-01,293,49.93996811,217.423584,218.1423187,219.4937439,"3/31/2026, 4:31:00.946 PM"
"3/31/2026, 4:31:06.231306 PM",295,K300_edge_device,pqube3,pqube3-01,298,49.93185806,217.3095703,217.9412842,219.2398071,"3/31/2026, 4:31:10.604 PM"
"3/31/2026, 4:31:01.9 PM",292,K300_edge_device,micropmu,micropmu-01,292,49.94263458,217.4029541,218.2335663,219.4481506,"3/31/2026, 4:30:56.005 PM"
"3/31/2026, 4:31:01.216493 PM",294,K300_edge_device,pqube3,pqube3-01,297,49.93700409,217.4850464,218.1167603,219.4854736,"3/31/2026, 4:31:05.995 PM"
"3/31/2026, 4:30:56.9 PM",291,K300_edge_device,micropmu,micropmu-01,291,49.93920135,217.3319244,218.0262756,219.341629,"3/31/2026, 4:30:51.175 PM"
"3/31/2026, 4:30:56.211696 PM",293,K300_edge_device,pqube3,pqube3-01,296,49.93832397,217.3797607,218.1869507,219.4503784,"3/31/2026, 4:31:00.946 PM"
"3/31/2026, 4:30:51.9 PM",290,K300_edge_device,micropmu,micropmu-01,290,49.92979431,217.4509735,218.0175323,219.3144836,"3/31/2026, 4:30:46.094 PM"
"3/31/2026, 4:30:51.209795 PM",292,K300_edge_device,pqube3,pqube3-01,295,49.94033813,217.414856,218.1167603,219.380188,"3/31/2026, 4:30:56.005 PM"
"3/31/2026, 4:30:46.9 PM",289,K300_edge_device,micropmu,micropmu-01,289,49.92765427,217.4275513,217.8605499,219.0222168,"3/31/2026, 4:30:40.912 PM"
"3/31/2026, 4:30:46.204455 PM",291,K300_edge_device,pqube3,pqube3-01,294,49.93708801,217.590332,218.0465698,219.4503784,"3/31/2026, 4:30:51.175 PM"
"3/31/2026, 4:30:41.9 PM",288,K300_edge_device,micropmu,micropmu-01,288,49.92168427,217.4414063,218.0215912,219.1563568,"3/31/2026, 4:30:36.13 PM"
"3/31/2026, 4:30:41.204153 PM",290,K300_edge_device,pqube3,pqube3-01,293,49.92695236,217.2744751,217.9412842,219.0994263,"3/31/2026, 4:30:46.094 PM"
"3/31/2026, 4:30:36.9 PM",287,K300_edge_device,micropmu,micropmu-01,287,49.92851639,217.5322418,218.2466736,219.4753876,"3/31/2026, 4:30:31.082 PM"
"3/31/2026, 4:30:36.238126 PM",289,K300_edge_device,pqube3,pqube3-01,292,49.92169189,217.414856,217.8710938,218.9941406,"3/31/2026, 4:30:40.912 PM"
"3/31/2026, 4:30:31.9 PM",286,K300_edge_device,micropmu,micropmu-01,286,49.93545151,217.5897217,218.3919373,219.5240326,"3/31/2026, 4:30:26.142 PM"
"3/31/2026, 4:30:31.243569 PM",288,K300_edge_device,pqube3,pqube3-01,291,49.92322159,217.3797607,218.0465698,219.2398071,"3/31/2026, 4:30:36.13 PM"
"3/31/2026, 4:30:26.9 PM",285,K300_edge_device,micropmu,micropmu-01,285,49.93412781,217.5059052,218.1276093,219.4627075,"3/31/2026, 4:30:21.095 PM"
"3/31/2026, 4:30:26.245924 PM",287,K300_edge_device,pqube3,pqube3-01,290,49.93160248,217.590332,218.3273315,219.4503784,"3/31/2026, 4:30:31.082 PM"
"3/31/2026, 4:30:21.9 PM",284,K300_edge_device,micropmu,micropmu-01,284,49.92963028,217.8600922,218.5612793,219.5724487,"3/31/2026, 4:30:16.36 PM"
"3/31/2026, 4:30:21.23786 PM",286,K300_edge_device,pqube3,pqube3-01,289,49.93291092,217.4499512,218.2571411,219.4854736,"3/31/2026, 4:30:26.142 PM"
